t,x1,x2
0.0,1.0,-2.0
0.01,0.980392156862745,-1.9607843137254901
0.02,0.961168781237985,-1.9223375624759704
0.03,0.942322334547044,-1.8846446690940883
0.04,0.9238454260265134,-1.8476908520530275
0.05,0.905730809829915,-1.8114616196598305
0.060000000000000005,0.887971382186191,-1.7759427643723826
0.07,0.8705601786139125,-1.7411203572278255
0.08,0.8534903711901103,-1.7069807423802208
0.09,0.8367552658726569,-1.6735105317453143
0.09999999999999999,0.8203482998751537,-1.6406965997503078
0.10999999999999999,0.8042630390932879,-1.608526078186576
0.11999999999999998,0.7884931755816547,-1.5769863511633098
0.12999999999999998,0.7730325250800534,-1.5460650501601074
0.13999999999999999,0.7578750245882875,-1.5157500491765754
0.15,0.743014729988517,-1.4860294599770345
0.16,0.7284458137142322,-1.456891627428465
0.17,0.7141625624649335,-1.4283251249298672
0.18000000000000002,0.700159374965621,-1.4003187499312422
0.19000000000000003,0.6864307597702166,-1.3728615195404332
0.20000000000000004,0.6729713331080553,-1.345942666216111
0.21000000000000005,0.6597758167726031,-1.3195516335452067
0.22000000000000006,0.6468390360515717,-1.2936780721031436
0.23000000000000007,0.6341559176976193,-1.2683118353952385
0.24000000000000007,0.6217214879388424,-1.2434429758776848
0.25000000000000006,0.6095308705282767,-1.2190617410565536
0.26000000000000006,0.5975792848316437,-1.1951585696632878
0.2700000000000001,0.5858620439525917,-1.1717240879051838
0.2800000000000001,0.5743745528946975,-1.1487491057893957
0.2900000000000001,0.5631123067595072,-1.1262246135190148
0.3000000000000001,0.5520708889799089,-1.1041417779598182
0.3100000000000001,0.5412459695881457,-1.082491939176292
0.3200000000000001,0.5306333035177899,-1.06126660703558
0.3300000000000001,0.5202287289390097,-1.0404574578780195
0.34000000000000014,0.51002816562648,-1.0200563312529602
0.35000000000000014,0.500027613359294,-1.0000552267185885
0.36000000000000015,0.49022315035224895,-0.9804463007044982
0.37000000000000016,0.48061093171789104,-0.9612218634357823
0.38000000000000017,0.4711871879587166,-0.9423743759174334
0.3900000000000002,0.4619482234889378,-0.9238964469778758
0.4000000000000002,0.4528904151852331,-0.9057808303704664
0.4100000000000002,0.44401021096591475,-0.8880204219318297
0.4200000000000002,0.4353041283979556,-0.8706082567959114
0.4300000000000002,0.426768753331329,-0.853537506662658
0.4400000000000002,0.4184007385601264,-0.836801477120253
0.45000000000000023,0.41019680250992774,-0.8203936050198557
0.46000000000000024,0.40215372795090953,-0.8043074559018192
0.47000000000000025,0.39426836073618576,-0.7885367214723717
0.48000000000000026,0.38653760856488795,-0.7730752171297761
0.49000000000000027,0.37895843976949795,-0.757916879538996
0.5000000000000002,0.37152788212695875,-0.7430557642539175
0.5100000000000002,0.36424302169309675,-0.7284860433861936
0.5200000000000002,0.35710100165989866,-0.7142020033197976
0.5300000000000002,0.35009902123519476,-0.7001980424703896
0.5400000000000003,0.3432343345443085,-0.6864686690886173
0.5500000000000003,0.33650424955324354,-0.6730084991064874
0.5600000000000003,0.32990612701298383,-0.6598122540259679
0.5700000000000003,0.3234373794244939,-0.6468747588489879
0.5800000000000003,0.3170954700240136,-0.6341909400480272
0.5900000000000003,0.31087791178824864,-0.6217558235764973
0.6000000000000003,0.30478226645906725,-0.6095645329181346
0.6100000000000003,0.2988061435873208,-0.5976122871746417
0.6200000000000003,0.2929471995954125,-0.5858943991908251
0.6300000000000003,0.2872031368582475,-0.574406273716495
0.6400000000000003,0.28157170280220334,-0.5631434056044068
0.6500000000000004,0.2760506890217679,-0.552101378043536
0.6600000000000004,0.27063793041349793,-0.541275860826996
0.6700000000000004,0.26533130432695873,-0.5306626086539175
0.6800000000000004,0.2601287297323125,-0.520257459464625
0.6900000000000004,0.2550281664042279,-0.5100563328084559
0.7000000000000004,0.250027614121792,-0.5000552282435842
0.7100000000000004,0.24512511188410974,-0.49025022376821964
0.7200000000000004,0.24031873714128404,-0.4806374742825682
0.7300000000000004,0.23560660504047454,-0.47121321008094913
0.7400000000000004,0.2309868676867397,-0.4619737353734795
0.7500000000000004,0.22645771341837223,-0.4529154268367446
0.7600000000000005,0.22201736609644335,-0.44403473219288675
0.7700000000000005,0.21766408440827778,-0.43532816881655556
0.7800000000000005,0.21339616118458604,-0.4267923223691721
0.7900000000000005,0.2092119227299863,-0.41842384545997263
0.8000000000000005,0.20510972816665318,-0.4102194563333065
0.8100000000000005,0.2010879687908364,-0.4021759375816729
0.8200000000000005,0.19714506744199645,-0.394290134883993
0.8300000000000005,0.1932794778843102,-0.38655895576862054
0.8400000000000005,0.1894896842003041,-0.3789793684006083
0.8500000000000005,0.18577420019637653,-0.37154840039275316
0.8600000000000005,0.18213156881997694,-0.364263137639954
0.8700000000000006,0.17856036158821265,-0.3571207231764254
0.8800000000000006,0.1750591780276594,-0.35011835605531894
0.8900000000000006,0.17162664512515624,-0.3432532902503126
0.9000000000000006,0.16826141678936885,-0.33652283357873775
0.9100000000000006,0.16496217332291063,-0.32992434664582126
0.9200000000000006,0.1617276209048143,-0.3234552418096287
0.9300000000000006,0.15855649108315123,-0.31711298216630257
0.9400000000000006,0.15544754027759922,-0.31089508055519854
0.9500000000000006,0.1523995492917639,-0.30479909858352794
0.9600000000000006,0.14941132283506264,-0.29882264567012534
0.9700000000000006,0.14648168905398296,-0.292963378107966
0.9800000000000006,0.1436094990725323,-0.2872189981450647
0.9900000000000007,0.1407936265416983,-0.28158725308339666
